|cible|prediction|Signal achat
2024-09-09|5554.13|5447.335720000003|False
2024-09-10|5595.76|5487.525119999999|False
2024-09-11|5626.02|5494.225840000002|False
2024-09-12|5633.09|5573.081120000002|False
2024-09-13|5634.58|5598.530720000008|False
2024-09-16|5618.26|5600.991400000001|False
2024-09-17|5713.64|5569.4216400000005|False
2024-09-18|5702.55|5630.586599999992|False
2024-09-19|5718.57|5636.981280000004|False
2024-09-20|5732.93|5631.9408|False
2024-09-23|5722.26|5680.580759999999|False
2024-09-24|5745.37|5701.421560000003|False
2024-09-25|5738.17|5709.72088000001|False
2024-09-26|5762.48|5723.236360000009|False
2024-09-27|5708.75|5733.1944399999975|False
2024-09-30|5709.54|5731.561240000001|True
2024-10-01|5699.94|5704.409799999999|False
2024-10-02|5751.07|5690.713799999992|False
2024-10-03|5695.94|5717.295239999991|False
2024-10-04|5751.13|5719.9171599999945|True
2024-10-07|5792.04|5706.98811999998|False
2024-10-08|5780.05|5749.65032|False
2024-10-09|5815.03|5761.920000000009|False
2024-10-10|5859.85|5786.642080000017|False
2024-10-11|5815.26|5816.594360000013|False
2024-10-14|5842.47|5825.980320000008|True
2024-10-15|5841.47|5826.771000000005|False
2024-10-16|5864.67|5833.545119999991|False
2024-10-17|5853.98|5838.193759999992|False
2024-10-18|5851.2|5844.764919999989|False
2024-10-21|5797.42|5848.174079999986|False
2024-10-22|5809.86|5820.609319999991|True
2024-10-23|5808.12|5829.166639999994|True
2024-10-24|5823.52|5815.239720000006|True
2024-10-25|5832.92|5818.43284000001|False
2024-10-28|5813.67|5826.70552|False
2024-10-29|5705.45|5824.041680000004|True
2024-10-30|5728.8|5789.741359999997|True
2024-10-31|5712.69|5739.562120000002|True
2024-11-01|5782.76|5730.568199999996|True
2024-11-04|5929.04|5739.5959599999915|False
2024-11-05|5973.1|5807.135120000005|False
2024-11-06|5995.54|5851.780400000005|False
2024-11-07|6001.35|5903.149520000012|False
2024-11-08|5983.99|5952.058960000013|False
2024-11-11|5985.38|5967.328160000008|False
2024-11-12|5949.17|5966.668519999994|False
2024-11-13|5870.62|5956.617359999992|True
2024-11-14|5893.62|5904.778840000014|True
2024-11-15|5916.98|5902.483040000016|True
2024-11-18|5917.11|5929.770560000001|True
2024-11-19|5948.71|5927.843240000006|True
2024-11-20|5969.34|5928.948959999999|False
2024-11-21|5987.37|5950.376640000009|False
2024-11-22|6021.63|5969.928160000017|False
2024-11-25|5998.74|5988.229799999999|False
2024-11-26|6032.38|5975.706439999994|False
2024-11-27|6047.15|5968.973439999994|False
2024-11-29|6049.88|6019.8118799999875|False
2024-12-02|6086.49|6019.1577599999855|False
2024-12-03|6075.11|6047.436119999987|False
2024-12-04|6090.27|6061.829720000002|False
